Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2023-01-01 01:00 AM,2023,01,01,01,297.6,348,Hazardous,340.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 02:00 AM,2023,01,01,02,254.8,305,Hazardous,212.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 03:00 AM,2023,01,01,03,217.7,268,Very Unhealthy,179.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 04:00 AM,2023,01,01,04,199.9,250,Very Unhealthy,180.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 05:00 AM,2023,01,01,05,173.7,224,Very Unhealthy,149.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 06:00 AM,2023,01,01,06,139.8,195,Unhealthy,106.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 07:00 AM,2023,01,01,07,113.9,181,Unhealthy,88.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 08:00 AM,2023,01,01,08,101.9,175,Unhealthy,90.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 09:00 AM,2023,01,01,09,109.9,179,Unhealthy,118.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 10:00 AM,2023,01,01,10,117.4,183,Unhealthy,125.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 11:00 AM,2023,01,01,11,141.2,195,Unhealthy,165.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 12:00 PM,2023,01,01,12,140.5,195,Unhealthy,140.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 01:00 PM,2023,01,01,13,137.2,193,Unhealthy,134.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 02:00 PM,2023,01,01,14,128.1,188,Unhealthy,119.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 03:00 PM,2023,01,01,15,121.5,185,Unhealthy,115.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 04:00 PM,2023,01,01,16,114.6,182,Unhealthy,106.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 05:00 PM,2023,01,01,17,116.6,183,Unhealthy,119.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 06:00 PM,2023,01,01,18,153.2,204,Very Unhealthy,190.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 07:00 PM,2023,01,01,19,251.6,302,Hazardous,350.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 08:00 PM,2023,01,01,20,305.3,355,Hazardous,359.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 09:00 PM,2023,01,01,21,302.6,353,Hazardous,300.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 10:00 PM,2023,01,01,22,263.8,314,Hazardous,225.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-01 11:00 PM,2023,01,01,23,238.9,289,Very Unhealthy,214.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 12:00 AM,2023,01,02,00,230.9,281,Very Unhealthy,223.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 01:00 AM,2023,01,02,01,219.9,270,Very Unhealthy,209.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 02:00 AM,2023,01,02,02,217.5,267,Very Unhealthy,215.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 03:00 AM,2023,01,02,03,209.2,259,Very Unhealthy,201.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 04:00 AM,2023,01,02,04,217.6,267,Very Unhealthy,226.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 05:00 AM,2023,01,02,05,234.3,284,Very Unhealthy,253.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 06:00 AM,2023,01,02,06,238.0,288,Very Unhealthy,244.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 07:00 AM,2023,01,02,07,259.1,310,Hazardous,286.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 08:00 AM,2023,01,02,08,248.4,298,Very Unhealthy,242.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 09:00 AM,2023,01,02,09,221.5,271,Very Unhealthy,176.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 10:00 AM,2023,01,02,10,206.2,256,Very Unhealthy,182.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 11:00 AM,2023,01,02,11,204.2,254,Very Unhealthy,201.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2023-01-02 12:00 PM,2023,01,02,12,177.1,227,Very Unhealthy,151.0,UG/M3,1 Hr,Valid
