Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,218.4,268,Very Unhealthy,221.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,215.2,265,Very Unhealthy,212.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,197.1,247,Very Unhealthy,179.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,188.0,238,Very Unhealthy,179.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,179.2,229,Very Unhealthy,155.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,165.0,215,Very Unhealthy,142.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,163.9,214,Very Unhealthy,162.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,173.2,223,Very Unhealthy,189.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,199.9,250,Very Unhealthy,239.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,193.8,244,Very Unhealthy,185.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,204.4,254,Very Unhealthy,220.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,136.4,193,Unhealthy,65.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,108.1,178,Unhealthy,80.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,88.5,168,Unhealthy,69.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,81.2,164,Unhealthy,74.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,76.6,162,Unhealthy,72.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,78.3,163,Unhealthy,80.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,103.1,176,Unhealthy,128.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,132.0,190,Unhealthy,161.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,148.5,199,Unhealthy,165.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,154.2,205,Very Unhealthy,160.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,163.6,214,Very Unhealthy,173.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 12:00 AM,2021,01,02,00,177.8,228,Very Unhealthy,192.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 01:00 AM,2021,01,02,01,174.9,225,Very Unhealthy,172.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 02:00 AM,2021,01,02,02,168.4,219,Very Unhealthy,162.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 03:00 AM,2021,01,02,03,168.7,219,Very Unhealthy,169.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 04:00 AM,2021,01,02,04,168.3,219,Very Unhealthy,168.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 05:00 AM,2021,01,02,05,164.2,215,Very Unhealthy,160.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 06:00 AM,2021,01,02,06,163.8,214,Very Unhealthy,160.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 07:00 AM,2021,01,02,07,166.5,217,Very Unhealthy,168.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 08:00 AM,2021,01,02,08,168.9,219,Very Unhealthy,179.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 09:00 AM,2021,01,02,09,171.8,222,Very Unhealthy,184.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 10:00 AM,2021,01,02,10,173.4,224,Very Unhealthy,179.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 11:00 AM,2021,01,02,11,169.9,220,Very Unhealthy,155.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 12:00 PM,2021,01,02,12,140.8,195,Unhealthy,105.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 01:00 PM,2021,01,02,13,120.2,184,Unhealthy,99.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 02:00 PM,2021,01,02,14,107.9,178,Unhealthy,96.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 03:00 PM,2021,01,02,15,91.8,170,Unhealthy,77.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 04:00 PM,2021,01,02,16,73.9,161,Unhealthy,56.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 05:00 PM,2021,01,02,17,67.9,157,Unhealthy,62.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 06:00 PM,2021,01,02,18,81.4,164,Unhealthy,95.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 07:00 PM,2021,01,02,19,115.7,182,Unhealthy,150.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 08:00 PM,2021,01,02,20,137.8,193,Unhealthy,160.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 09:00 PM,2021,01,02,21,149.9,200,Unhealthy,162.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 10:00 PM,2021,01,02,22,145.4,197,Unhealthy,141.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-02 11:00 PM,2021,01,02,23,146.2,198,Unhealthy,147.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-03 12:00 AM,2021,01,03,00,151.1,202,Very Unhealthy,156.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-03 01:00 AM,2021,01,03,01,152.5,203,Very Unhealthy,154.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-03 02:00 AM,2021,01,03,02,155.2,206,Very Unhealthy,158.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-03 03:00 AM,2021,01,03,03,156.6,207,Very Unhealthy,158.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-03 04:00 AM,2021,01,03,04,163.3,214,Very Unhealthy,170.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-03 05:00 AM,2021,01,03,05,167.2,218,Very Unhealthy,173.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-03 06:00 AM,2021,01,03,06,161.4,212,Very Unhealthy,163.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2021-01-03 07:00 AM,2021,01,03,07,161.3,212,Very Unhealthy,160.0,UG/M3,1 Hr,Valid
