Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2022-01-01 01:00 AM,2022,01,01,01,130.1,190,Unhealthy,129.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,128.1,188,Unhealthy,126.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,125.1,187,Unhealthy,121.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,125.6,187,Unhealthy,126.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,124.2,186,Unhealthy,120.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,122.7,186,Unhealthy,118.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,123.5,186,Unhealthy,120.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,123.5,186,Unhealthy,121.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,123.6,186,Unhealthy,124.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,124.5,187,Unhealthy,132.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,123.6,186,Unhealthy,120.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,116.6,183,Unhealthy,98.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,107.1,178,Unhealthy,90.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,78.6,163,Unhealthy,57.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,79.8,164,Unhealthy,81.0,UG/M3,1 Hr,Valid
